Date,USD_to_INR,Goldstein_Mean,Goldstein_Median,Goldstein_Sum,Event_Count,Total_Mentions,Avg_Tone
2025-10-09,88.8,0.942624678061344,1.9,8051.9,8542,41927,-0.8658342944301151
2025-10-10,88.71,0.9103878624739996,1.9,7440.599999999999,8173,41640,-0.9579409493614802
2025-10-13,88.69,0.7354034910194788,1.9,5814.099999999999,7906,40131,-1.0333764416955458
2025-10-14,88.79,0.7244840294840295,1.9,5897.3,8140,42591,-0.9123358687696717
2025-10-15,88.06,0.960576301847784,1.9,7433.9,7739,40283,-1.215753853785539
2025-10-16,87.93,0.832088122605364,1.9,6949.6,8352,42395,-0.8441048746405956
2025-10-17,88.0,0.6205219925808161,1.0,4683.7,7548,37911,-1.069161589991926
2025-10-20,87.9,0.8958919401652155,1.9,4012.7,4479,23910,-0.0354566941170252
2025-10-21,87.97,0.5869736842105263,1.0,3568.8,6080,32351,-1.0310857749381863
2025-10-22,88.42,0.5698465547191662,1.0,3936.5,6908,35527,-1.1613612751974545
2025-10-23,87.82,0.4701261640132171,1.0,3130.1,6658,33922,-1.3811205624283212
2025-10-24,87.81,0.6828024567918869,1.0,4780.3,7001,37061,-1.3648072911887708
2025-10-27,88.25,0.7972496107939803,1.9,6145.2,7708,39905,-1.0503099596124592
2025-10-28,88.31,0.7503748125937032,1.9,5505.5,7337,37702,-1.219855011980226
2025-10-29,88.23,0.6212566201251805,1.0,5161.4,8308,42405,-1.0707460122038974
2025-10-30,88.72,0.3566794651132,1.0,2694.0,7553,39210,-1.473801173123919
2025-10-31,88.72,0.6994814065266887,1.9,5530.1,7906,40827,-0.8709844135278276
2025-11-03,88.77,0.7036016949152543,1.9,4981.5,7080,36599,-1.4889563692459165
2025-11-04,88.71,0.5566255471547951,1.0,4196.4,7539,38888,-1.2952618148241068
2025-11-05,88.64,0.6059513339196717,1.0,4133.8,6822,35001,-1.0562285977147186
2025-11-06,88.57,0.4710821160119132,1.0,3321.6,7051,36414,-1.1578467636512877
2025-11-07,88.68,0.6986382393397523,1.0,5079.099999999999,7270,37249,-1.1018769235016916
2025-11-10,88.68,0.1456130420015849,1.0,1286.1999999999998,8833,44045,-2.099951420862449
2025-11-11,88.49,-0.191411963247703,0.0,-2041.6,10666,49962,-3.071198709340604
2025-11-12,88.61,0.2230126397158675,1.0,2134.9,9573,46335,-2.462836244288836
2025-11-13,88.69,0.20862473597747,1.0,1777.9,8522,42831,-2.2241805519341566
2025-11-14,88.68,0.6366325074588144,1.9,4907.8,7709,38042,-0.739278798341205
2025-11-17,88.61,0.4442865074958356,1.0,4000.8,9005,45584,-2.583379153032744
2025-11-18,88.56,0.2529260899976684,1.0,2169.6,8578,43140,-2.2756632905844905
2025-11-19,88.5,0.6788258729786736,1.0,5793.1,8534,44798,-1.462550810977474
2025-11-20,88.71,0.5626907927129493,1.9,4571.3,8124,41598,-1.3012683193346584
2025-11-21,89.64,0.7355001998135073,1.9,5521.4,7507,39686,-1.4210686265759522
2025-11-24,89.15,0.5792525773195877,1.9,4495.0,7760,41523,-0.7408447145031034
2025-11-25,89.2,0.6256524078557978,1.0,4651.1,7434,39187,-1.020591496533509
2025-11-26,89.2,0.4412865337339524,1.0,3231.1,7322,39569,-1.5348225163588292
2025-11-27,89.4,0.632223784966401,1.0,4045.6,6399,35516,-1.224999034553392
2025-11-28,89.48,0.7579298831385642,1.9,4994.0,6589,35064,-1.2673821365237732
2025-12-01,89.54,0.6900699912510936,1.0,4732.5,6858,37948,-1.4813797458331104
2025-12-02,89.95,0.6234191382204812,1.0,4456.2,7148,39960,-1.7391324180580154
2025-12-03,90.17,0.8550539501426269,1.9,6894.3,8063,43605,-1.304134205548088
2025-12-04,89.87,1.1259903169014085,1.9,10233.0,9088,46247,-0.9880390357889536
2025-12-05,89.94,1.1303854875283448,1.9,10468.5,9261,46946,-0.676969515990678
2025-12-08,90.04,0.5580980474785784,1.0,3973.1,7119,39488,-1.437951704412461
2025-12-09,89.84,0.6350994318181818,1.0,4471.1,7040,38986,-1.5107074580175357
2025-12-10,89.91,0.7773587437927796,1.0,5792.1,7451,40586,-1.1987141798826106
2025-12-11,90.32,0.8380161887776101,1.0,6108.3,7289,38926,-1.1976202746834346
2025-12-12,90.53,0.533922734026746,1.0,3593.3,6730,36362,-1.3047708188777485
2025-12-15,90.74,0.8234398107068915,1.9,5568.1,6762,35196,-1.060407192541455
2025-12-16,90.92,0.7199106113033449,1.9,4993.3,6936,36607,-1.331202742188569
2025-12-17,90.37,0.1644022503516174,1.0,1168.9,7110,37631,-1.8882341951910648
2025-12-18,90.26,0.5356424259844783,1.0,3727.0,6958,36887,-1.3708045207772628
2025-12-19,89.69,0.3303623188405797,1.0,2279.5,6900,38943,-1.906352721708962
2025-12-22,89.65,0.4013057324840764,1.0,2520.2,6280,32645,-1.2539660928941505
2025-12-23,89.56,-0.008704764566159,0.4,-62.3,7157,37129,-2.433058505554695
2025-12-24,89.74,0.3372992812356629,1.0,2205.6,6539,34747,-1.8152319929840992
